engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
cement,B2,verb,sementere,X,,Latin,"belegge, dekke, feste med sement, lage av sement; låse fast",X,Konflikten sementerte deres allerede dårlige forhold.,The conflict cemented their already poor relationship.,
cement factory,B2,en,sementfabrikk,X,,Latin,fabrikk hvor man fremstiller sement,X,Den gamle sementfabrikken ble stengt etter mange års drift.,The old cement factory was closed after many years of operation.,
"semifinal, semi-final",A2,en,semifinale,X,,,"nest siste kamp i en idrettskonkurranse som blir arrangert etter utslagsmetoden, og som avgjør hvem som kommer til finalen",X,Laget ble slått ut i semifinalen.,The team was knocked out in the semi-finals.,
seminar,B2,et,seminar,X,,Latin,læreanstalt som utdanner prester i den romersk-katolske kirke; tidligere betegnelse for lærerskole; avdeling for praktiske øvinger ved universitet eller høgskole; øvingskurs,X,Deltakerne på seminaret fikk nye innsikter innen sitt fagfelt.,Participants at the seminar gained new insights in their field of expertise.,
inseminate,C,verb,seminere,X,,Latin,overføre sæd kunstig,X,Bonden måtte seminere kyrne for å øke produksjonen.,The farmer needed to seminate the cows to increase production.,
Semite,B2,en,semitt,X,,German,person som hører til den semittiske språk- og folkegruppen; jøde,X,Han identifiserte seg som en stolt semitt med sterke kulturelle røtter.,He identified himself as a proud Semite with strong cultural roots.,
Semitic,C,adjective,semittisk,X,,German,som gjelder semitter og semittisk,X,Den semittiske kulturen har hatt stor innflytelse på mange samfunn.,The Semitic culture has had a great influence on many societies.,
"philosemitism, Semitism",C,en,semittisme,X,[semiti´smə],German,innbegrep av trekk som er særegne for semittene eller deres språk; sympati for jødene; jødisk innflytelse på politikk og samfunn,X,Boken diskuterte ulike former for semittisme gjennom historien.,The book discussed different forms of philosemitism throughout history.,
suede,B2,expression,semsket skinn,X,,,skinn som er bearbeidet på kjøttsiden slik at overflaten er matt og ru,X,Jakken er laget av semsket skinn og er myk.,The jacket is made of suede and is soft.,
late,A2,adjective,sen,X,,Old Norse,som lar vente på seg,X,Han kom sent til møtet og måtte unnskylde seg.,He arrived late to the meeting and had to apologize.,
senate,B2,et,senat,X,,Latin,"rådgivende og regjerende forsamling i det gamle Roma; førstekammeret i flere lands nasjonalforsamling, for eksempel USA og Frankrike; styrende råd i tysk fristad",X,Senatet stemte over det nye forslaget.,The Senate voted on the new proposal.,
senator,B2,en,senator,X,,,medlem av et senat,X,Senatoren holdt en lang tale om klimaendringer.,The senator gave a long speech on climate change.,
send,A2,verb,sende,X,[se`n:ə],Old Norse: senda,"la noe bli tatt eller ført av andre til det stedet det skal; få av gårde; frakte, transportere; la noen dra for å utføre noe; gi noe videre til noen; kaste, slenge; skyte; rette mot; henvende; la utgå elektromagnetiske bølger; stråle ut; kringkaste, overføre",X,Kan du sende meg en melding når du er framme?,Can you send me a message when you arrive?,
messenger,C,et,sendebud,X,,,"budbringer, utsending",X,Kongen sendte et viktig sendebud til nabolandet.,The king sent an important messenger to the neighboring country.,
"airtime, broadcasting schedule",B2,ei,sendeflate,X,,,sendetid; samlet programtilbud i radio- eller tv-kanal,X,NRK legger om store deler av sin sendeflate.,NRK is changing large parts of its broadcasting schedule.,
"broadcasting time, airtime",B2,ei,sendetid,X,,,tid da en kringkastingsstasjon sender programmer; tidspunkt da et bestemt program blir sendt; tid som et program fyller,X,Kanalen utvider sendetiden til også å sende i helgene.,The channel is expanding its broadcasting time to include weekends.,
"shipment, broadcast",B1,ei,sending,X,[se`n:iŋ],Old Norse: sending,"det å sende noe; kringkasting av program; noe som blir sendt på én gang; parti, ladning; matvarer som folk tok med seg for eksempel til bryllup eller til en kvinne som nylig hadde fått barn; gave, foræring",X,Den første sendingen med kjøtt kom i går.,The first shipment of meat arrived yesterday.,
tendon,B2,ei,"sene, sen",X,,Old Norse,strengformet forlengelse av muskel (som fester muskelen til en knokkel),X,Hun strakk seg etter gjenstanden med en sene som var anstrengt.,She reached for the object with a tendon that was strained.,
bed,A1,ei,seng,X,[seŋ:],"Old Norse: sæng, sæing","møbel til å sove eller hvile på, i; møbelstykke designet for å gi et komfortabelt sted å sove eller hvile",X,Hva gjør du i senga mi?,What are you doing in my bed?,
put to bed,B2,verb,senge,X,,,gå til sengs; køye; legge til sengs; sørge for å få i seng,X,Jeg må senge barna før klokka åtte.,I have to put the kids to bed before eight o’clock.,
headboard,B2,en,sengegavl,X,,,loddrett endestykke på seng,X,Hun dekorerte sengens sengegavl med lys.,She decorated the headboard of her bed with candles.,
"bed sheets, linens",A2,et,sengeklær,X,,Old Norse,"klær til seng (laken, putevar, dynetrekk og så videre)",X,"Sengeklærne var myke og komfortable, perfekte for en god natts søvn.","The bedding was soft and comfortable, perfect for a good night's sleep.",
"bedrest, sickbed",B2,et,sengeleie,X,,,leie til å sove på; det å holde senga (på grunn av sykdom); sykeleie,X,Etter operasjonen måtte han holde senga og fikk strengt sengeleie.,"After the operation, he had to stay in bed and was put on strict bed rest.",
bedridden,B1,adjective,sengeliggende,X,,,som ligger til sengs (på grunn av sykdom),X,Hun har vært sengeliggende i flere dager med influensa.,She has been bedridden for several days with the flu.,
bedtime,A2,ei,sengetid,X,,Old Norse,tid da en pleier eller bør gå til sengs,X,Barna ble sendt til sengs da det nærmet seg sengetid.,The children were sent to bed when it was getting close to bedtime.,
"bed sheets, linens",A2,et,sengetøy,X,,Old Norse,sengeklær,X,Hun valgte et nytt sett med sengetøy i favorittfargene sine.,She chose a new set of bedding in her favorite colors.,
bed-wetter,B2,en,sengevæter,X,,Old Norse,en som lider av sengevæting,X,Sengevæteren våknet og oppdaget at sengen var våt igjen.,The bedwetter woke up and discovered that the bed was wet again.,
bedwetting,B2,ei,sengevæting,X,,,ufrivillig og ukontrollert urinering i senga om natta,X,Sengevæting kan være en stor belastning for barn.,Bedwetting can be a great burden for children.,
senile,B2,adjective,senil,X,,,(mentalt) svekket av alderdom,X,Den senile naboen blandet ofte sammen sønnen og broren sin.,The senile neighbor often confused his son and his brother.,
senility,C,en,senilitet,X,,,det å være senil,X,Familien merket de første tegnene på senilitet da hun sluttet å finne hjem.,The family noticed the first signs of senility when she stopped being able to find her way home.,
senior,B1,adjective,senior,X,[se:´nior],Latin,"(den) eldre, faren; som er mer erfaren eller har høyere stilling, rang",X,Han er en erfaren senior ansatt i firmaet.,He is an experienced senior employee of the company.,
senior,B1,en,senior,X,"[se:´nior], [se:´niår]",Latin,idrettsutøver over en bestemt alder (som regel 18 eller 20 år); eldstemann innenfor en viss krets; eldre person; pensjonist,X,Seniorene er en ressurs for arbeidslivet.,Seniors are a resource for working life.,
zenith,B2,et,senit,X,[se:´nit],Arabic,det punktet på himmelen som er loddrett over ens hode,X,De satt på fjelltoppen og beundret solens posisjon i senit.,They sat on the mountain top and admired the position of the sun in the zenith.,
"sink, lower",A2,verb,senke,X,,Old Norse: søkkva,"la, få til å synke; fire ned; bre; bøye; rette nedover; sette ned; gjøre lavere",X,Stillheten senket seg over byen.,Silence descended on the town.,
"relax, lower one's shoulders",B1,expression,senke skuldrene,X,,,slappe av,X,"Da eksamen var unnagjort, kunne studentene endelig senke skuldrene.","When the exam was over, the students could finally relax.",
"sinking, lowering",B2,ei,"senking, senkning",X,,,det å senke eller bli senket,X,Det står om senkingen av skipet i historieboka.,The sinking of the ship is in the history book.,
"dip, depression, sedimentation rate",C,ei,senkning,X,,,"søkk, fordypning; mål for hastigheten som de røde blodcellene synker med i en blodprøve; blodsenkning",X,Etter ulykken viste veien en tydelig senkning der bakken hadde gitt etter.,"After the accident, the road showed a clear dip where the ground had given way.",
Late Middle Ages,C,en,senmiddelalder,X,,,senere del av middelalderen,X,Pesten rammet Europa i senmiddelalderen.,The plague struck Europe in the Late Middle Ages.,
mustard,A2,en,sennep,X,,Greek,(krydder laget av frø av) korsblomstret plante av slekta Sinapis,X,Jeg liker å ha litt sennep på pølsa mi.,I like to put a little mustard on my sausage.,
sensation,B2,en,sensasjon,X,,Latin,"sanseinntrykk, fornemmelse; sterkt inntrykk; oppstuss; oppsiktsvekkende begivenhet",X,Skandalen var en virkelig sensasjon.,The scandal was a real sensation.,
sensational,B2,adjective,sensasjonell,X,,French,sterkt oppsiktsvekkende,X,Avisen omtalte hendelsen som en sensasjonell nyhet.,The newspaper referred to the incident as sensational news.,
sensei,B1,en,sensei,X,[sensæi´],Japanese,"(ærefull tittel for) lærer, læremester (særlig i kampsport)",X,Senseien rettet på stillingen hans uten å si et ord.,The sensei corrected his posture without saying a word.,
late summer,B1,en,sensommer,X,,Old Norse,ettersommer,X,Sensommeren bringer med seg milde kvelder og varme dager.,Late summer brings mild evenings and warm days.,
"sensor, censor",B2,en,sensor,X,[se´nsor],Latin,sakkyndig som bedømmer en kandidats eksamensprestasjoner,X,Sensoren på bilen oppdaget hindringen i veien og advarte sjåføren.,The car's sensor detected the obstacle in the road and warned the driver.,
sensory,B2,adjective,sensorisk,X,,Latin,som angår fornemmelsen eller sanseinntrykkene,X,Berøringen hans aktiverte sensoriske nerver i huden.,His touch activated sensory nerves in the skin.,
sensualism,C,en,sensualisme,X,,Latin,filosofisk retning som hevder at all erkjennelse kan føres tilbake til sanseinntrykk; sanselig nytelse; sanselighet,X,Sensualismen bygger på at kunnskap kommer fra sanseinntrykk.,Sensualism is based on the idea that knowledge comes from sense impressions.,
sensualist,C,en,sensualist,X,,Latin,tilhenger av sensualismen,X,Forfatteren var både filosof og sensualist.,The author was both a philosopher and a sensualist.,
sensualistic,C,adjective,sensualistisk,X,,Latin,sterkt sanselig,X,Maleriet har et tydelig sensualistisk preg.,The painting has a clearly sensualistic quality.,
sensuality,B2,en,sensualitet,X,,Latin,det å være sensuell; sanselighet,X,Romanen skildrer sensualitet uten å bli sentimental.,The novel depicts sensuality without becoming sentimental.,
sensual,C,adjective,sensuell,X,,Latin via French,som er preget av eller vitner om erotikk; sanselig,X,Maleren skapte et sensuelt portrett som uttrykte både nærhet og begjær.,The painter created a sensual portrait that expressed both intimacy and desire.,
censorship,B2,en,sensur,X,,Latin,"(stats)kontroll med aviser, bøker, filmer og lignende; bedømmelse av skriftlig eller muntlig prøve til eksamen",X,Filmen ble møtt med sensur og ble aldri vist på kino.,The film was met with censorship and was never shown in cinemas.,
censor,B2,verb,sensurere,X,,Latin,"granske, kontrollere, bedømme for godkjenning eller avvising",X,Myndighetene bestemte seg for å sensurere innholdet i dokumentaren.,The authorities decided to censor the content of the documentary.,
maxim,C,en,sentens,X,,Latin,"kort og innholdstung setning; fyndord, ordtak",X,Han siterte en gammel sentens om visdom og tålmodighet.,He quoted an old maxim about wisdom and patience.,
center,A2,et,senter,X,[se´ntər],Latin via English,"sentrum, midtpunkt",X,Det nye senteret tilbyr mange aktiviteter for unge og gamle.,The new center offers many activities for young and old.,
sentiment,B2,et,sentiment,X,,Latin,"følelsesmessig oppfatning, stemning, mening",X,Han følte et dypt sentiment da han besøkte sitt barndomshjem.,He felt a deep sentiment when he visited his childhood home.,
sentimental,B1,adjective,sentimental,X,,Latin,"(altfor) følelsesfull, svermerisk, søtlaten",X,Hun ble veldig sentimental da hun så de gamle familiebildene.,She became very sentimental when she saw the old family photos.,
sentimentality,B2,en,sentimentalitet,X,,,det å være sentimental; føleri,X,Filmen var full av sentimentalitet og fikk mange til å gråte.,The film was full of sentimentality and made many people cry.,
central,A2,adjective,sentral,X,[sentra:´l],Latin,som hører til eller ligger i sentrum,X,Byen har alltid vært en sentral del av nasjonens økonomi.,The city has always been a central part of the nation's economy.,
"center, exchange",B1,en,sentral,X,[sentra:´l],Latin,sted eller anlegg som er midtpunktet i en virksomhet,X,Sentralen sørget for rask respons på alle nødanrop.,The center ensured a quick response to all emergency calls.,
Central America,A1,et,Sentral-Amerika,X,,Latin,Mellom-Amerika,X,Ferieturen gikk til Sentral-Amerika hvor de utforsket jungelen.,The vacation went to Central America where they explored the jungle.,
central administration,C,en,sentraladministrasjon,X,,,"øverste administrasjon som er felles for hele landet, særlig departementene",X,Sentraladministrasjonen holder til i regjeringskvartalet.,The central administration is located in the government quarter.,
central train station,B2,en,sentralbanestasjon,X,,Latin,hovedstasjon for (jern)banenettet i et land eller en by,X,Sentralbanestasjonen var fylt med reisende på vei til ulike destinasjoner.,The central train station was filled with travelers on their way to various destinations.,
central bank,B2,en,sentralbank,X,,Latin,"bank som har som oppgave å lede penge- og kredittvesenet i et land, nasjonalbank",X,Sentralbanken justerte rentene for å stabilisere økonomien.,The central bank adjusted interest rates to stabilize the economy.,
"centralize, centralise",B2,verb,sentralisere,X,,Latin,"samle virksomhet, forvaltning, administrasjon eller lignende på ett eller få steder; samle under felles ledelse",X,De små grendeskolene er sentralisert bort.,The small neighborhood schools have been centralized away.,
centralization,C,ei,sentralisering,X,,,det å sentralisere,X,Sentralisering av makt førte til misnøye i distriktene.,Centralization of power led to discontent in the districts.,
centralism,C,en,sentralisme,X,,,ideologi eller politikk som fremmer sterk sentralisering av makt,X,Sentralisme kan svekke lokaldemokratiet.,Centralism can weaken local democracy.,
central committee,C,en,"sentralkomité, sentralkomite",X,,,sentralt styringsorgan valgt av en kommunistisk partikongress,X,Den nye sentralkomitéen ble valgt på partikongressen.,The new central committee was elected at the party congress.,
central power,C,ei,sentralmakt,X,,,"sentral styresmakt; sentralisert makt; fellesbetegnelse for Tyskland, Østerrike-Ungarn, Bulgaria og Det osmanske riket i tiden før og under første verdenskrig",X,Sentralmaktene tapte første verdenskrig.,The central powers lost the First World War.,
central nervous system,C,et,sentralnervesystem,X,,,fellesbetegnelse for hjernen og ryggmargen,X,Det sentralnervesystemet styrer alle kroppens bevegelser.,The central nervous system controls all the body’s movements.,
central station,B2,en,sentralstasjon,X,,Latin,sentralbanestasjon,X,Sentralstasjonen var den største knutepunktet i byen.,The central station was the largest hub in the city.,
"pass, cross",B1,verb,sentre,X,,,"sende ballen (eller pucken) til en medspiller, særlig fra en av sidene inn mot midten av banen",X,Spilleren valgte å sentre i stedet for å skyte selv.,The player chose to pass instead of shooting himself.,
centrifugal force,C,ei,sentrifugalkraft,X,,Latin,utoverrettet kraft som et legeme er påvirket av når det beveger seg i krum bane,X,Sentrifugalkraften gjorde at vannet ble presset ut av klærne i maskinen.,The centrifugal force pushed the water out of the clothes in the machine.,
centrifuge,C,en,sentrifuge,X,,English,"apparat eller maskin som ved rotasjon skiller tunge stoffer fra lettere; roterende trommel i vaskemaskin, brukt til å presse vann ut av klesvask",X,Vasketøyet blir stryketørt i sentrifugen.,The laundry is ironed dry in the centrifuge.,
"pass, cross",B1,ei,sentring,X,,,det å sentre; pasning,X,Sentringen kom presist og ga mål på direkten.,The pass was precise and resulted in a direct goal.,
centric,C,adjective,sentrisk,X,,,som foregår i sentrum av noe; midt i noe,X,Byen hadde et sentrisk torg.,The city had a centric square.,
centrism,C,en,sentrisme,X,[sentri´smə],,"politisk retning, arbeiderbevegelse som står for en mellomting mellom kommunisme og sosialdemokrati",X,Sentrisme ble diskutert som en politisk retning.,Centrism was discussed as a political position.,
centrist,C,en,sentrist,X,[sentri´st],,"person, politiker fra arbeiderbevegelsen som står for en mellomting mellom kommunisme og sosialdemokrati; person, politiker som befinner seg i midten av det politiske spektret",X,Hun regnet seg selv som en sentrist.,She considered herself a centrist.,
"downtown, city center, center",A1,et,sentrum,X,[se´ntrum],Greek via Latin,"midtpunkt i en symmetrisk figur; område i midten av noe; midtpunkt for oppmerksomhet eller interesse; midtre, mest sentrale del av et geografisk område, særlig i en by eller en bygd; sted eller institusjon der viktig aktivitet eller virksomhet er samlet; politisk parti eller gruppering mellom det politiske høyre og venstre",X,Byens sentrum var alltid travelt med mennesker og trafikk.,The city center was always bustling with people and traffic.,
separation,B1,en,separasjon,X,,,adskillelse; formell opphevelse av samlivet mellom ektefeller før den endelige skilsmissen,X,De søkte separasjon etter mange år med konflikter.,They sought separation after many years of conflict.,
separation anxiety,C,en,separasjonsangst,X,,,"angst for adskillelse, særlig hos barn som er redde for å miste omsorgspersoner",X,Barn med separasjonsangst kan få panikk når foreldrene går.,Children with separation anxiety can panic when their parents leave.,
separate,B2,adjective,separat,X,[separa:´t],Latin,"adskilt, særskilt; uavhengig eller forskjellig fra andre",X,"De bodde i separate leiligheter, selv om de fortsatt var sammen.","They lived in separate apartments, even though they were still together.",
separatism,C,en,separatisme,X,,Latin,"trang, tilbøyelighet til å skille seg ut fra helheten; (det å hevde) særstandpunkt",X,Separatismen i regionen skapte stor politisk uro.,Separatism in the region created great political unrest.,
separatist,C,en,separatist,X,,Latin,en som på grunn av avvikende meninger skiller seg ut fra en større gruppe; tilhenger av separatisme,X,Separatisten kjempet for uavhengighet fra sentralmakten.,The separatist fought for independence from the central government.,
separatist movement,C,en,separatistbevegelse,X,,Latin,bevegelse som kjemper for løsrivelse og opprettelse av egen stat for en folkegruppe,X,Separatistbevegelsen vokste raskt og tiltrakk seg mange tilhengere.,The separatist movement grew rapidly and attracted many followers.,
separate,B2,verb,separere,X,,Latin,"atskille, skille",X,De bestemte seg for å separere etter mange år med ekteskap.,They decided to separate after many years of marriage.,
separate,B2,expression,separere seg,X,,,ta ut separasjon,X,De bestemte seg for å separere seg etter mange år sammen.,They decided to separate after many years together.,
September,A1,en,september,X,[septe´mbər],Latin,årets niende måned,X,De første dagene i september var varme.,The first days of September were warm.,
ceremony,B1,en,seremoni,X,[serəmoni:´],Latin,"høytidelig, tradisjonsbestemt (ofte symbolsk) handling; formell og ofte rituell handling eller hendelse som utføres for å markere en spesiell anledning, begivenhet eller overgang",X,Seremonien ble holdt i en vakker hage med venner og familie til stede.,The ceremony was held in a beautiful garden with friends and family in attendance.,
ceremonial,B2,adjective,seremoniell,X,,Latin,"som hører til eller består av seremonier; formell, stiv, som overholder etiketten",X,Nå har kongen bare seremonielle funksjoner.,Now the king has only ceremonial functions.,
series,A2,en,serie,X,,Latin via French,"rekke av sammenhørende, ensartede ledd, ting eller handlinger; fastsatt rekke av kamper i fotball, håndball, ishockey og så videre der resultatene i de enkelte kampene regnes sammen",X,Bilene produseres i serier.,The cars are produced in series.,
serial fabrication,B2,en,seriefabrikasjon,X,,Latin via French,fabrikasjon av en rekke nøyaktig like gjenstander,X,Seriefabrikasjon har gjort produksjonsprosessen mer effektiv.,Mass production has made the manufacturing process more efficient.,
serial,B2,adjective,seriell,X,,Latin via French,"som utgjør en serie, opptrer i serie",X,Filmen ble utgitt som en del av en seriell serie.,The film was released as part of a serialized series.,
serial killer,B2,en,seriemorder,X,,Latin via French,morder som har tatt livet av flere på forholdsvis kort tid,X,Seriemorderen rystet nasjonen med sine grufulle forbrytelser.,The serial killer shook the nation with his horrific crimes.,
serial number,B2,et,serienummer,X,,Latin via French,nummer i en seriefabrikasjon,X,Serienummeret på telefonen hjalp politiet med å spore den stjålne enheten.,The serial number on the phone helped police track the stolen device.,
serial production,B2,en,serieproduksjon,X,,Latin via French,produksjon av et (visst) større antall identiske produkter (i uavbrutt rekkefølge); det å serieprodusere; seriefabrikasjon,X,Serieproduksjonen startet i januar og gikk uten forsinkelser.,Series production started in January and ran without delays.,
serially produce,B2,verb,serieprodusere,X,,Latin via French,"produsere i serier, i store (enkelt)partier; drive serieproduksjon",X,Fabrikken begynte å serieprodusere bilen i store mengder.,The factory began mass-producing the car in large quantities.,
serious,A2,adjective,seriøs,X,,Latin,"som fortjener å bli tatt alvorlig, som er alvorlig ment",X,De fleste aktørene i bransjen er seriøse.,Most players in the industry are serious.,
seriousness,B2,en,seriøsitet,X,,Latin,det å være seriøs,X,Seriøsiteten i hennes stemme fikk alle til å lytte nøye.,The seriousness in her voice made everyone listen carefully.,
serotonin,B2,et,serotonin,X,[serotoni:´n],,"signalstoff som skilles ut av nerveceller i hjernen og i tarmen, og som blant annet påvirker humør og følelsesliv",X,Serotonin omtales ofte i forbindelse med humør.,Serotonin is often mentioned in connection with mood.,
sergeant,B1,en,sersjant,X,,Latin via French,befalsgrad i Hæren og Luftforsvaret,X,Sersjanten ga ordre om å marsjere fram.,The sergeant gave the order to march forward.,
certificate,B1,et,sertifikat,X,[særtifika:´t],Latin,"attest, skriftlig bevis (ofte utstedt av offentlig myndighet)",X,For å kjøre bil i Norge må man ha et gyldig sertifikat.,"To drive a car in Norway, you must have a valid license.",
certify,B2,verb,sertifisere,X,[særtifise:´rə],Latin,utstyre med sertifikat,X,Bussen er sertifisert for 48 passasjerer.,The bus is certified for 48 passengers.,
certification,B2,ei,sertifisering,X,,,det å utstyre med sertifikat; det å godkjenne,X,Kurset avsluttes med en sertifisering.,The course ends with a certification.,
serum,B2,et,serum,X,,Latin,"tynn, klar, lysegul væske som skilles ut når blodet levrer seg; blodserum; blodserum tilsatt antistoffer som sprøytes inn i organismen mot visse sykdommer; antiserum",X,Legen tok en prøve av pasientens serum.,The doctor took a sample of the patient’s serum.,
serve,B1,en,"serve, sørv",X,[sørv],English,"det å serve; innledende slag, for eksempel i tennis, badminton, volleyball",X,Serven hennes var rask og presis.,Her serve was fast and precise.,
serve,B1,verb,"serve, sørve",X,[sø`rvə],English,slå det innledende slaget,X,Hun lærte seg å serve riktig under tennistreningen.,She learned to serve correctly during her tennis training.,
cervelat,C,en,servelat,X,[særvəla:´t],Italian via French via German,servelatpølse,X,Han la tynne skiver servelat på brødskiven.,He put thin slices of cervelat on the slice of bread.,
cervelat sausage,C,ei,servelatpølse,X,,Italian via French via German,"krydret, lett røykt pølse av svinekjøtt",X,Servelatpølsa hadde mild røyksmak og sprakk litt i panna.,The cervelat sausage had a mild smoky flavor and split a little in the pan.,
server,B2,en,"server, sørver",X,[sø:´rvər],English,datamaskin eller dataprogram som leverer tjenester til enheter i et datanett; tjener,X,"Serveren krasjet, og ingen fikk tilgang til filene sine.",The server crashed and no one could access their files.,
serve food,A2,verb,servere,X,,Latin,"anrette, varte opp, betjene",X,De serverte middag til alle gjestene på festen.,They served dinner to all the guests at the party.,
service,B1,ei,servering,X,,Latin,det å servere eller bli servert; mat eller drikke som blir servert; traktement,X,Det var en fin servering på restauranten.,There was a nice service at the restaurant.,
serving tray,B1,et,serveringsbrett,X,,,brett til å bære fram mat og drikke på,X,Kelneren bar ut kaffen på et serveringsbrett.,The waiter carried out the coffee on a serving tray.,
restaurant,B1,et,serveringssted,X,,,sted der det blir servert mat og drikke mot betaling,X,De åpnet et nytt serveringssted i byen.,They opened a new restaurant in the city.,
service,B1,en,"service, sørvis",X,[sø:´rvis],Latin via French via English,"(kunde)betjening, hjelp; ettersyn og overhaling av motorer, motorkjøretøyer og lignende",X,God service er avgjørende for å beholde kundene.,Good service is crucial to retaining customers.,
napkin,A2,en,serviett,X,,,stykke tøy eller papir som blir brukt under et måltid til å beskytte klærne og tørke fingre og munn med,X,Han brettet servietten pent før middagen begynte.,He folded the napkin neatly before dinner began.,
napkin holder,B1,en,serviettholder,X,,,holder til å sette frem servietter i,X,Serviettholderen sto midt på bordet ved siden av saltet.,The napkin holder stood in the middle of the table next to the salt.,
napkin ring,B2,en,serviettring,X,,,ring til å ha rundt serviett når den er rullet sammen før bruk,X,Bestemoren hans brukte serviettringer av sølv på julaften.,His grandmother used silver napkin rings on Christmas Eve.,
servile,C,adjective,servil,X,,Latin,"krypende, underdanig",X,Den servile holdningen hans ble ikke godt mottatt av kollegene.,His servile attitude was not well received by his colleagues.,
"tableware set, dining set",B1,et,servise,X,,Latin via French,"sett av tallerkner, fat, asjetter og kopper som hører sammen",X,De har et elegant servise til spesielle anledninger.,They have an elegant tableware for special occasions.,
waiter,A2,en,servitør,X,,Latin,"oppvarter, serveringsdame, kelner",X,Servitøren var vennlig og sørget for at alle var fornøyde med maten.,The waiter was friendly and made sure everyone was happy with the food.,
"see each other, see one another",A2,verb,"ses, sees",X,,Old Norse: sjáast,"se hverandre, møtes",X,Vi ses senere!,See you later!,
session,B2,en,sesjon,X,,Latin,"tidsrom da en representativ forsamling, domstol eller lignende sitter sammen; møte der vernepliktige blir intervjuet, testet og undersøkt for å avgjøre om og hvor de skal gjøre militærtjeneste",X,Alle 18-åringer må møte til sesjon for vurdering til militærtjeneste.,All 18-year-olds must attend a session to be assessed for military service.,
season,A2,en,sesong,X,[seså´ŋ:],Latin via French,"periode, årstid da et arbeid eller en virksomhet foregår",X,"Sesongen for jordbær varer bare et par uker, så alle må skynde seg å plukke dem.","The strawberry season only lasts a couple of weeks, so everyone needs to hurry up and pick them.",
seat,C,verb,sesse,X,,Old Norse: sissa,"gi noen sitteplass; plassere; ta sete, sette seg",X,Verten sesset gjestene rundt det lange bordet.,The host seated the guests around the long table.,
seat,A1,et,sete,X,[se:`tə],Old Norse: sæti,"noe til å sitte på; sitteplass; det å sitte som medlem av en forsamling eller lignende; oppholdssted, residens; bakende, bak",X,"Hovedstaden er sete for konge, regjering og storting.","The capital is the seat of the king, government and parliament.",
"seat belt, seatbelt, safety belt",A2,et,setebelte,X,,Old Norse,belte til å spenne seg fast til et sete med,X,Husk å bruke et setebelte i bilen.,Remember to wear a seat belt in the car.,
farm,B2,ei,seter,X,,Old Norse,"beiteområde med hus der en bor og har buskapen om sommeren, særlig på fjellet; støl; hus på seter; seterhus",X,Om sommeren tok de buskapen opp til setra.,In the summer they took the cattle up to the farm.,
farmhouse,C,et,seterhus,X,,Old Norse,hus på en seter,X,"Seterhuset var lite, men koselig.","The farmhouse was small, but cozy.",
"sentence, theorem",A1,ei,setning,X,[se`tniŋ],Old Norse: setning,"ytring som normalt inneholder et subjekt og et predikat; sats, regel, forskrift; noe som er plassert ut eller satt sammen; noe som er satt eller skal settes ut (på én gang); sett; det å sige; forskyvning (i jordmasse, bygningskonstruksjoner eller lignende)",X,Setningen hans var så lang at det var vanskelig å følge med på hva han egentlig mente.,His sentence was so long that it was difficult to follow what he actually meant.,
the infinite monkey theorem,C,expression,setningen om uendelig mange aper,X,,Old Norse,"setningen som sier at hvis en ape trykker tilfeldig på en skrivemaskin over et uendelig langt tidsrom, vil den nesten helt sikkert inntaste eller forfatte en gitt tekst",X,Setningen om uendelig mange aper beskriver en teoretisk sannsynlighet.,The infinite monkey theorem describes a theoretical probability.,
syntax,C,ei,setningslære,X,,,lære om setningsbygning og setningsforbindelser,X,I norsktimen lærte vi om subjekt og verbal i setningslæren.,"In Norwegian class, we learned about subject and verb in syntax.",
"clause, part of a sentence",B1,et,setningsledd,X,,Old Norse,hvert av de grammatiske leddene en setning består eller kan bestå av,X,Vi skal analysere setningsleddene i teksten.,We're going to analyze the clauses in the text.,
set,A2,et,sett,X,,Old Norse,"det å sette noe, særlig fiskegarn og annen fangstredskap; noe som settes ut (på én gang); setning; samling av enkeltdeler som hører sammen; måte, vis",X,Han kjøpte et sett med bestikk til det nye huset.,He bought a set of cutlery for the new house.,
"put, set",A1,verb,sette,X,[se`t:ə],Old Norse: setja,"anbringe, plassere",X,Kan du sette boken tilbake på hyllen?,Can you put the book back on the shelf?,
set the agenda,B2,expression,sette agendaen,X,,Old Norse,avgjøre eller legge premisser for hva som blir aktuelle temaer; sette dagsorden,X,Organisasjonen ønsker å sette agendaen for miljøspørsmål.,The organization wants to set the agenda for environmental issues.,
put all rags on,B2,expression,sette alle kluter til,X,,Old Norse,sette alt inn,X,For å fullføre prosjektet må vi sette alle kluter til.,"To complete the project, we had to pull out all the stops.",
put everything on one roll of the dice,B2,expression,sette alt på ett terningkast,X,,Old Norse,satse alt på en gang,X,Han var villig til å sette alt på ett terningkast for å vinne.,He was willing to roll the dice to win.,
settle down,B1,expression,sette bo,X,,Old Norse,skaffe seg et hjem; bosette seg,X,Etter bryllupet bestemte de seg for å sette bo.,"After the wedding, they decided to settle down.",
"put a stop to, prevent",B2,expression,sette bom for,X,,,"sette en stopper for; hindre, stoppe",X,Det nye regelverket satte bom for planene deres.,The new regulations put a stop to their plans.,
