engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
teabag,A2,en,tepose,,Chinese via Dutch,"liten papirpose med te nok til å trekke en kopp",Hun la en tepose i koppen med varmt vann.
"blanket, carpet, rug",A2,et,teppe,,Latin via German via Old Norse: tapit,"vevd eller knyttet stoff til å legge på gulvet eller over senga, eller til å henge på veggen; dekke som minner om et teppe",Jeg brettet teppet over sofaen før jeg satte meg ned.
therapist,B2,en,terapeut,[terapæu´t],Greek,"person som driver eller har til yrke å drive terapi",
therapeutic,B2,adjective,terapeutisk,,Greek,"som har med terapi å gjøre",
therapy,B1,en,terapi,,Greek,medisinsk behandling,
installment,B2,en,termin,,Latin via German,"avgrenset tidsrom; fastsatt tidsfrist, forfallsdag; beløp (avdrag eller renter) som skal betales innen en viss frist",Et studieår kan være oppdelt i terminer eller semestre. Avdragene er fordelt på fire terminer.
thermometer,B1,et,termometer,[tærmome:´tər],Greek,"instrument til å måle temperatur med, temperaturmåler, gradestokk",
thermos,B1,en,termos,,Greek,"termosflaske",
thermos,B1,ei,"termosflaske",,Greek,flaske med isolerende vegger slik at mat eller drikke holder på temperaturen,
thermostat,B2,en,termostat,,Greek,"apparat som regulerer temperaturen automatisk (for eksempel i en motor, i et værelse eller i en stekeovn)",
"die, dice",A2,en,terning,[tæ:`rniŋ],Latin via German,"(spille)brikke med seks like sider og øyne fra 1 til 6; liten, firkantet bit",Hun slår terningen og får en sekser.
"terrace, patio, deck",A2,en,terrasse,[tæra´s:ə],Latin via French,(naturlig eller opparbeidet) trappetrinnformet avsats i skrånende terreng; avsats fremfor en innrykket (øverste) etasje i en større bygning,"En svær terrasse går hele veien rundt kårboligen, som en hattebrem."
townhouse,B2,et,terrassehus,,Latin via French,rekkehus eller boligblokk der en del av taket i en leilighet danner en terrasse for boligen over,
terrain,B1,et,terreng,[tære´ŋ:],Latin via French,"lende, (fri) mark",
mountain bike,B2,en,terrengsykkel,,Latin via French,"solid sykkel med brede dekk og mange gir",
territorial,B2,adjective,territorial,,Latin,"som gjelder et landområde eller en stat",
territory,B2,et,territorium,,Latin,"det området (land og sjø) som en stat har jurisdiksjon over, statsområde",
terror,B1,en,terror,[tæ´r:or],Latin via English,"bruk av (trusler om) vold for å oppnå visse mål",
terrorist attack,B2,et,terrorangrep,,Latin via English,angrep i form av en terroraksjon,
terrorist act,B2,ei,terrorhandling,,Latin via English,"voldshandling for å utøve terror",
terrorism,B2,en,terrorisme,,Latin via English,"tilstand, system eller lære knyttet til det å bruke terror; skrekkvelde",
terror regime,B2,et,terrorregime,,Latin via English,"regime preget av, basert på terror; terrorstyre",
threshold,B2,en,"terskel, treskel",,,"dørstokk; grense, overgang",
test,A2,en,test,,,"(systematisk) prøve, fagmessig utprøving (for eksempel av et menneskes intelligens eller av en motors yteevne)",Jeg må ta en test på skolen i morgen.
last will,B2,et,testament,,,"skriftlig erklæring der en bestemmer hva som skal skje med det en etterlater seg",
bequeath ,B2,verb,testamentere,,,"gi som arv ved testament",
test,A2,verb,teste,,,"prøve, undersøke ved hjelp av en test",De skal teste det nye programmet før det lanseres.
tester,B2,en,tester,,,"person som tester, driver testing",
testicle,B2,en,testikkel,,,mannlig kjønnskjertel; sædkjertel,
scrotum,C,en,testikkelpung,,,"hudpung bak penis som inneholder testiklene",
testimony,C,et,testimonium,,,"(skriftlig) vitnesbyrd, vitnemål",
private conversation,C,en,"tête-à-tête, tete-a-tete",[tetate:´t],French: tête-à-tête,"fortrolig møte, samtale under fire øyne (ofte mellom to personer av ulikt kjønn)",Hun er modell for Munch når han maler en tête-a-tête.
"tight, close, dense, congested",A2,adjective,tett ,[tet:],Old Norse: þéttr,"som ikke har (store eller mange) hull, mellomrom, åpninger eller lignende",Vinduene er så tett at det ikke kommer inn noe kald luft.
"thick and fast, tight as hail",B2,expression,"tett som hagl",,,svært tett,Overraskelsene kommer tett som hagl.
densely populated,B2,adjective,tettbebygd ,,Old Norse,med tett bebyggelse; tettbygd,
built-up area,B2,en,tettbebyggelse,,Old Norse,"tettbygd område uten bystatus, bygdesentrum",Fartsgrensen i tettbebyggelsen er oftest 50 km/t.
densely populated,B2,adjective,tettbefolket ,,Old Norse,som har mange innbyggere i forhold til areal; tett befolket,
built-up,B2,adjective,tettbygd ,,Old Norse,med tett bebyggelse; tettvokst,
tighten,A2,verb,tette ,,Old Norse,gjøre tett,Vi må tette lekkasjen før den blir verre.
density,B2,ei,tetthet ,,Old Norse,det å være tett,
tight-fitting,B2,adjective,tettsittende ,,Old Norse,"som sitter, slutter tett inntil kroppen",
tight-fitting,B2,adjective,tettsluttende ,,Old Norse,tett ettersittende; tettsittende,
built-up area,B1,et,tettsted ,,Old Norse,by eller annen tettbebyggelse med over 200 innbyggere,
tea water,B2,et,tevann,,Chinese via Dutch,"varmt vann til å trekke te i",
compete,C,verb,tevle,,,"delta i tevling, konkurrere",
theta,C,en,theta,[te:´ta],Greek,"åttende bokstav i det greske alfabetet (Θ, θ, ϑ), tilsvarer th i det latinske",
thorn,C,en,thorn,[þår-n],Old Norse,"bokstaven þ i det norrøne og islandske alfabetet",
thriller,B1,en,thriller,[tri´l:ər],English,"svært spennende bok, film eller skuespill, grøsser, gyser",Thrilleren holdt meg på kanten av setet.
ten,A1,numeral,ti,,Old Norse: tíu,grunntallet 10,Det var ti personer på festen.
time,A1,ei,tid,[ti:d],Old Norse: tíð,grunnleggende størrelse som oppfattes som en evig rekke av begivenheter eller tilstander,Min tid skal komme. Det var på høy tid at du kom.
time heals all wounds,B1,expression,"tiden leger alle sår",,Old Norse,sorg og smerte blir mindre etter som tiden går,
tide,B2,et,tidevann,,German,"regelmessig veksling i vannstanden i havet, flo og fjære",
early,A2,adjective,tidlig,,Old Norse,som ligger før eller nær begynnelsen av noe,Jeg stod opp tidlig om morgenen.
"previous, former",A2,adjective,tidligere,,Old Norse,"(på et tidspunkt) som hører til en (forholdsvis) langt tilbakeliggende del av noens liv; som gjelder, har med en del av noens liv å gjøre som tilhører fortiden; forhenværende","Min tidligere sjef var veldig streng, men rettferdig."
timeless,B2,adjective,tidløs,,Old Norse,"som mangler tidspreg, som er gyldig til enhver tid",
"zeitgeist, spirit of the times",B2,en,tidsånd ,,Old Norse,"ånd, tenkemåte som særpreger en viss tid",
era,B2,en,tidsepoke,,Old Norse,epoke,
deadline,B1,en,tidsfrist,,Old Norse,"tid som en har til disposisjon for å utføre noe bestemt, tilmålt tid",
time interval,B2,et,tidsintervall,,Old Norse,"intervall, mellomrom mellom to tidspunkter",
"time-related, temporal",B2,adjective,tidsmessig,,Old Norse,"som passer for, tilfredsstiller tidens krav (for eksempel moter)",
habitually late person,B2,en,tidsoptimist,,Old Norse,person som (stadig) undervurderer hvor lang tid noe tar og derfor får det travelt eller blir forsinket,
point in time,A2,et,tidspunkt,,Old Norse,"tid, klokkeslett, øyeblikk",Vi har avtalt et bestemt tidspunkt for møtet.
era,B2,ei,tidsregning,,,måte å beregne og inndele tiden på,Vår tidsregning begynner med Kristi fødsel.
time period,B1,et,tidsrom,,Old Norse,"periode",Kurset foregår over et tidsrom av tre uker.
time change,B2,et,tidsskifte,,Old Norse,"(mer eller mindre dyptgående) skifte, forandring i tiden",
magazine,B2,et,tidsskrift,,Old Norse,"hefte eller blad som kommer ut med jevne mellomrom (for eksempel hver uke eller måned), og som i regelen inneholder stoff om et enkelt fag eller emneområde",
time zone,B2,ei,tidssone,,Old Norse,"sone av jordkloden som har samme tid, vanligvis på 15 lengdegrader",
periodic,B2,adverb,tidvis,,Old Norse,"nå og da, i perioder",
be silent,B1,verb,tie,[ti:`ə],Old Norse: þegja,"bli taus, slutte å snakke; holde tett, holde på en hemmelighet",
stifle to death,B2,expression,"tie i hjel",,Old Norse,"bevisst la være å nevne noe som det ellers ville vært naturlig å snakke eller skrive om; kvele, kue ved å ikke omtale (noe, noen)",
tenth,A2,adjective,tiende,,Old Norse: tiundi,ordenstall til ti (10.),Dette er den tiende gangen jeg prøver å løse denne oppgaven.
tithe,C,en,tiende,,Latin via Old Norse: tíund,"avgift til kirken som ofte utgjorde en tidel av årets avling, fangst eller inntekt",
tiger,A2,en,tiger,,Persian via Latin,"stort, tverrstripet asiatisk rovdyr av kattefamilien",Tigeren i dyrehagen sov da vi kom.
beg,B1,verb,tigge,,Old Norse: þiggja,"be tynt, bønnfalle; be om mat eller penger (som livsform eller levevei)",
beggar,B1,en,tigger,,Old Norse,"person som tigger, eller som lever av å tigge",
begging letter,B2,et,tiggerbrev,,Old Norse,"brev der en ber mottakeren om penger",
"to, of",A1,preposition,til,,Old Norse: til,"ved angivelse av bevegelse mot et bestemmelsessted, mål eller sluttpunkt",Jeg skal til butikken senere.
at all hours of the day,B2,expression,"til alle døgnets tider",,Old Norse,støtt,
forever,B2,expression,"til evig tid",,Old Norse,"for bestandig",
in vain,B2,expression,til fånyttes,,Old Norse,til ingen nytte,
in common,B1,expression,til felles,,Old Norse,"dele, ha sammen (egenskap, interesse eller erfaring)",
"to the fingertips, fully",B2,expression,til fingerspissene,,Old Norse,helt og holdent; fullt ut,
for the benefit of,B1,expression,til fordel for,,Old Norse,til gagn for,Dette er bare til fordel for deg selv.
in constrast to,B1,expression,til forskjell fra,,Old Norse,"ulikt, i motsetning til",Til forskjell fra broren sin lever han et regelmessig liv.
strikingly similar to,B2,expression,til forveksling lik,,Old Norse,så lik at en ikke kan se forskjell,Han er til forveksling lik sin far. Bildene er til forveksling like.
on foot,A2,expression,til fots,,Old Norse,gående,De bestemte seg for å gå til fots til jobben i dag.
for the advancement of,B2,expression,til fremme av,,Old Norse,for å fremme,
fully,B2,expression,til fulle,,Old Norse,så det holder,Rapporten bekrefter til fulle mistankene vi hadde.
rightly,B2,expression,til gagns,,,"grundig, fullt ut; så det monner, forslår; riktig; ordentlig",
"ashore, on shore",B2,expression,til lands,,Old Norse,inn til land; i land; på landjorda; på land,
"even, up to and including",A2,expression,til og med,,Old Norse,frem til og iberegnet,"Alle var med, til og med de som vanligvis ikke deltar."
"left over, to spare",B1,expression,til overs,,Old Norse,"til rest, ekstra; overflødig, betydningsløs, utenfor",Har du noe tid til overs i dag?
"to the letter, exactly",B2,expression,"til punkt og prikke",,Old Norse,helt nøyaktig; til minste detalj,Jeg fulgte oppskriften til punkt og prikke.
to the last drop,B2,expression,til siste dråpe,,Old Norse,til det er helt tomt; så mye eller lenge som mulig,Han drakk kaffen til siste dråpe.
"in the end, ultimately",A2,expression,til slutt,,,til sist,Til slutt forlot jeg landet uten å ha truffet verken henne eller deg.
present,A2,expression,til stede,,Old Norse,nærværende,Han var til stede på møtet i går.
at times,B1,expression,"til tider",,Old Norse,"av og til",Hun kan være vanskelig å forstå til tider.
in spite of,B1,expression,til tross for,,Old Norse,enda,"Til tross for regnet, hadde vi det veldig gøy."
back,A1,adverb,tilbake,"[tilba:`kə], [tilba:´kə]",Old Norse,"bakover; om fortiden, bakover i tid",Han kom tilbake fra ferie. 
relapse,B2,et,tilbakefall,,Old Norse,"det å falle tilbake i en tidligere tilstand","Pasienten så ut til å komme seg, men fikk plutselig et tilbakefall."
return,B2,verb,tilbakeføre,,Old Norse,"bringe (noe(n)) tilbake dit hvor det (eller vedkommende) kom fra; føre, frakte tilbake",Vi må tilbakeføre pengene til kunden.
regression,B2,en,tilbakegang,,Old Norse,"det å gå tilbake, vise svekkelse eller forfall",Selskapet opplevde en tilbakegang i salg i fjor.
reserved,B2,adjective,tilbakeholden,,Old Norse,"forsiktig, reservert",Hun var litt tilbakeholden med å dele sine meninger.
"call back, recall",B2,verb,tilbakekalle,,Old Norse,"kalle, ta tilbake, annullere",Produktet ble tilbakekalt på grunn av en feil.
buy-back,B2,et,tilbakekjøp,,Old Norse,det å kjøpe(s) tilbake; gjenkjøp,Firmaet vurderer et tilbakekjøp av aksjer.
return,B2,en,tilbakekomst,,Old Norse,"det å komme tilbake",Hans tilbakekomst til hjemlandet var en stor begivenhet.
feedback,B2,ei,tilbakemelding,,Old Norse,"det at det går informasjon om virkningen av en prosess fra ett ledd i et system eller en krets til et annet, som så påvirker prosessen igjen",Jeg setter pris på all tilbakemelding jeg kan få på prosjektet.
trip back,B2,ei,tilbakereise,,Old Norse,"reise tilbake til utgangsstedet (ofte hjemstedet)",Tilbakereisen tok lengre tid på grunn av trafikken.
retrospective,C,adjective,tilbakeskuende,,Old Norse,som skuer tilbake (i erindringen eller i det forgangne); retrospektiv,Han har en tilbakeskuende tankegang og er skeptisk til forandring.
setback,B2,et,tilbakeslag,,Old Norse,det at noe går tilbake eller utvikler seg i ugunstig retning,Prosjektet fikk et stort tilbakeslag på grunn av budsjettkutt.
reset,B2,verb,tilbakestille,,Old Norse,"justere (noe) ved å flytte en del (for eksempel urviser) bakover; stille tilbake; tilbakeføre, justere tilbake til en tidligere tilstand, til et utgangspunkt eller til et tidligere nivå; gjenopprette",Du må tilbakestille innstillingene på telefonen din.
retreat,B2,et,tilbaketog,,Old Norse,"ferd, marsj tilbake, retrett",Partiet er på fullt tilbaketog i boligspørsmålet.
trip back,B2,en,tilbaketur,,Old Norse,tilbakereise,Tilbaketuren fra hytta var avslappende.
recurring,B2,adjective,tilbakevendende,,Old Norse,som vender tilbake eller kommer ofte igjen,
retroactive,C,adjective,tilbakevirkende,,Old Norse,gyldighet som også rammer forhold fra tiden før en lov trådte i kraft,Skatten ble beregnet med tilbakevirkende kraft.
refute,B2,verb,tilbakevise,,Old Norse,"avvise, gjendrive",Han klarte å tilbakevise anklagene mot seg.
worship,B2,verb,tilbe,,German: anbeten,"dyrke, vende seg til (og vise religiøs ærefrykt for) en gud eller et guddommelig vesen; være sterkt forelsket i, sverme for",
worshiper,B2,en,tilbeder,,German,person som tilber et annet menneske,
accessory,B1,et,tilbehør,,German,"utstyr som hører til, noe som normalt hører til",Hun kjøpte nytt tilbehør til kjøkkenet.
"proper, due",C,adjective,tilbørlig,,German,"som passer seg, kreves eller er nødvendig",De viste tilbørlig respekt for tradisjonene.
inclined,B2,adjective,tilbøyelig,[tilbøi´əli],German,"som pleier, viser hang til (å gjøre) noe bestemt",Jeg er tilbøyelig til å tro at han har rett.
"inclination, tendency",B2,ei,tilbøyelighet,,German,det å være tilbøyelig; tendens eller disposisjon for å handle på en bestemt måte eller ha en bestemt holdning,Han har en tilbøyelighet til å spise for mye.
"offer, supply",B1,et,tilbud,[ti`lbud],German,"det en tilbyr eller blir tilbudt; tilbudsvare, lokkevare (i detaljhandelen)",De hadde et spesielt tilbud på kaffe i dag.
offer,A2,verb,tilby,,German,"si seg villig til å gi, låne bort, selge eller lignende",Vi kan tilby deg en bedre pris for tjenesten.
"allocate, give",B2,verb,tildele,,German,"gi, la bli til del",Offeret ble tildelt flere slag i ansiktet.
dedicate,B2,verb,tilegne,[ti´læinə],German,"vie, dedisere",Hun tilegnet seg nye ferdigheter raskt.
"dedicate oneself, acquire, master",B2,expression,tilegne seg,,German,"gjøre til sitt, skaffe seg, ta, vinne",Han har ennå ikke tilegnet seg italienernes klesstil.
"dedication, acquisition",B2,en,tilegnelse,[ti´læinəlsə],German,"det å tilegne seg; dedikasjon; prosessen med å skaffe seg eller oppnå noe, vanligvis kunnskap, ferdigheter eller egenskaper","Tilegnelsen av språket tok tid, men det var verdt det."
"coincidental, random",B1,adjective,tilfeldig,[tilfe´ldi],German,"som kanskje skjer, vilkårlig",Vi møttes på en helt tilfeldig måte.
coincidence,B1,ei,tilfeldighet,,German,tilfeldig hendelse eller omstendighet,Det var en ren tilfeldighet at vi var på samme sted samtidig.
coincidentally,B1,adverb,tilfeldigvis,,German,ved tilfelle; tilfeldig,Jeg traff ham tilfeldigvis på butikken.
"case, example",A2,et,tilfelle,[ti`lfelə],Old Norse: tilfelli,"(virkelig eller tenkt) situasjon, forhold, mulighet",Det motsatte er tilfellet nå.
refuge,B2,ei,tilflukt,,German,"det å flykte, søke eller ty til (noen for å finne vern eller hjelp)",Hun fant tilflukt fra regnet under et tre.
"supply, provide",B2,verb,tilføre,,German,"gi, skaffe",Boka kan tilføre samfunnet nye åndelige verdier.
reliable,B2,adjective,tilforlatelig,[tilfårla:´təli],German,"pålitelig, traust, tillitvekkende",Vidkun Quisling maktet ikke å gjøre seg tilforlatelig med sine utlegninger.
"supply, provision",B2,en,tilførsel,,German,det å tilføre eller bli tilført; tilføyelse,Tilførselen av nye varer ble forsinket på grunn av streiken.
add,B2,verb,tilføye,,German,"føye, legge til",Hun tilføyer alltid litt ekstra krydder til maten sin.
addition,B2,en,tilføyelse ,,German,"det som en tilføyer",Hun gjorde en liten tilføyelse til dokumentet før hun sendte det.
satisfied,B2,adjective,tilfreds,[tilfre´ts],German,"som er glad for eller har avfunnet seg med noe, og som ikke forlanger, venter eller ønsker mer; fornøyd; som vitner om, gir uttrykk for fornøydhet",Jeg er tilfreds med resultatene av arbeidet mitt.
satisfaction,B2,ei,tilfredshet,,German,"det å være tilfreds, det å føle seg tilfredsstilt",Hennes tilfredshet var tydelig etter at hun fikk jobben.
"satisfy, gratify",B2,verb,tilfredsstille,,German,"oppfylle forventninger, krav, ønsker eller lignende",De klarte å tilfredsstille alle kundens krav.
satisfaction,B2,en,tilfredsstillelse,,German,"det å tilfredsstille eller være tilfredsstilt; tilstand av å føle seg fornøyd, oppfylt eller lykkelig etter å ha fått det man ønsket eller etter å ha oppnådd en bestemt målsetning",Det å fullføre prosjektet ga meg stor tilfredsstillelse.
"satisfactory, satisfying, gratifying",B2,adjective,tilfredsstillende,,German,"som man er, kan være tilfreds med; fyllestgjørende; fullgod; karakterbetegnelse for en jevnt god prestasjon",
access,B1,en,tilgang ,,,"tilførsel, tilstrømming; adgang; retten, evnen eller muligheten til å bruke eller få tak i noe",Den fattige allmuen burde ha tilgang til et bibliotek.
forgive,B1,verb,tilgi ,[ti´lji],German: tōgeven,"la være glemt, bære over med",Jeg tilgir det vonde du har gjort mot meg.
forgivable,B2,adjective,tilgivelig ,,German,som kan tilgis,"Det var en tilgivelig feil, og han fikk en ny sjanse."
forgiveness,B1,en,tilgivelse,,German,"det å tilgi eller bli tilgitt",Han ba om tilgivelse for det han hadde gjort.
"available, accessible",B2,adjective,tilgjengelig,[tilje´ŋ:(ə)li],Old Norse: tilgengiligr,som en kan komme frem til,Rettsmøtene skal være tilgjengelige for alle.
availability,B2,ei,tilgjengelighet,,Old Norse,"det å være tilgjengelig",Tilgjengeligheten av informasjon på nettet er imponerende.
contrived,B2,adjective,tilgjort,,German,"kunstig, affektert",Hennes smil virket litt tilgjort.
"follower, supporter, trailer",B1,en,tilhenger,[ti`lheŋər],German: tō-hanger,"meningsfelle, person som kjemper for eller er enig med en person eller part i en sak; vogn (for transport av gods, personer eller væske) som blir dradd av en trekkvogn",Han er en stor tilhenger av det lokale fotballaget.
belong to,A2,verb,tilhøre,,German,"være eid av, høre til, sogne til",Bøkene tilhører biblioteket.
"belonging, affiliation",B2,ei,tilhørighet,,German,"det å høre til eller høre sammen med noe",Hun følte en sterk tilhørighet til lokalsamfunnet.
annihilate,C,verb,tilintetgjøre ,,German,"ødelegge, utslette, knuse",Brannen tilintetgjorde hele landsbyen.
annihilation,C,en,tilintetgjørelse,,German,"det å tilintetgjøre eller bli tilintetgjort",Tilintetgjørelsen av dokumentene var nødvendig for å beskytte konfidensialiteten.
annihilation,C,ei,tilintetgjøring,,German,"tilintetgjørelse",Krigen førte til fullstendig tilintetgjøring av flere byer.
"connection, attachment",B2,ei,tilknytning,,German,"det å være knyttet til noe",Garasjen er bygd i tilknytning til huset.
connection fee,B2,ei,tilknytningsavgift,,German,"engangsavgift som abonnenten må betale for å bli knyttet til en tjeneste (for eksempel kraftnettet)",For å få tilgang til tjenesten må du betale en tilknytningsavgift.
point of connection,B2,et,tilknytningspunkt,,German,"punkt (sted, merke) som knytter noe sammen; berøringspunkt",Vi trenger et tilknytningspunkt for strøm.
"allow, permit",A2,verb,tillate,,German,gi lov til,Foreldrene tillot barna å se på TV i en time.
"allowable, permissible",B2,adjective,tillatelig,,German,"som en kan tillate, som er forsvarlig",Det er ikke tillatelig å kjøre over fartsgrensen.
permission,B1,en,tillatelse,,German,melding som gir en rett til å foreta seg noe,Du må ha tillatelse for å kunne bygge et nytt hus.
addition,A2,et,tillegg,,German,det som legges til,Som tillegg til lønnen får hun også bonuser.
"add to, attach",B1,verb,tillegge,,German,"legge til, føye til",Han tillegger stor betydning til detaljer i arbeidet sitt.
trust,B1,ei,tillit,[ti`l:it],Old Norse: tillit,"tiltro; tro på, forvissning om at noen er til å stole på eller har de egenskapene som kreves for å mestre en bestemt situasjon, utføre en bestemt oppgave; tro på, følelse av at noe er til å stole på, tåler å granskes eller utsettes for påkjenning; tro på, forvissning om en gunstig utvikling, et heldig resultat eller fortrøstning",Tilliten mellom dem var uforbeholden.
confidence-building,C,adjective,tillitskapende,,Old Norse,som skaper eller egner seg til å skape tillit,
position of trust,C,et,tillitsverv,,Old Norse,ulønnet verv som en person har i kraft av den tillit han eller hun har,
"advance, approach",B2,en,tilnærmelse,,,tilnærming; forsøk på å legge an på,Hun avviste tilnærmelsene hans. Han gjorde tilnærmelser til henne.
approach,B2,ei,tilnærming,,,"det å nærme seg, være mer imøtekommende",
"adaptation, customization",B2,ei,"tilpasning, tilpassing",,German,"det å tilpasse seg, innordne seg",Tilpasningen til det nye landet gikk raskere enn forventet.
"adapt, customize",B1,verb,tilpasse,,German,"avpasse, innrette",De tilpasset seg det nye miljøet uten problemer.
ability to adapt,B2,ei,tilpassingsevne ,,German,"evne til å tilpasse seg (situasjon, arbeid, levevis og så videre)",Hans tilpassingsevne gjorde det lettere for ham å trives i det nye landet.
"recommend, advise",C,verb,"tilråde, tilrå",,German,"anbefale, rå til",Vi tilråder at søknaden blir innvilget.
"recommended, advisable",C,adjective,tilrådelig,,German,"som kan tilrås, anbefales",Det er ikke tilrådelig at barna ser denne filmen.
recommendation ,C,ei,"tilråding, tilråing",,German,"innstilling, anbefaling",Komiteen vil legge frem sin tilråding neste uke.
sane,C,adjective,tilregnelig,,German,som er psykisk normal og derfor ansvarlig for sine handlinger,Han ble vurdert til å være tilregnelig i rettssaken.
"adapt, arange",B2,verb,tilrettelegge,,German,"legge til rette, bearbeide",Boka er dramatisert og tilrettelagt for radio.
"rebuke, reprimand",B2,verb,tilrettevise,,German,irettesette,Læreren måtte tilrettevise eleven for dårlig oppførsel.
promise,C,et,tilsagn,,German,"løfte, forsikring",
"additive, addition",B2,ei,tilsetning,,German,"tilsatt stoff, ingrediens",Tilsetningen av konserveringsmidler i matvarer er et omdiskutert tema.
"add, hire",B1,verb,tilsette,,German,"blande i, sette til",Styret har tilsatt henne som konsulent ved avdelingen.
"addition, appointment",B2,ei,tilsetting,,German,det å tilsette; ansettelse,
"indicate, dictate",B2,verb,tilsi,,,"gjøre det ønskelig, mest rimelig; tyde på; varsle om",Situasjonen tilsier at jeg blir hjemme. Landslaget vårt er ikke så dårlig som resultatene skulle tilsi. Kongen har tilsagt sitt nærvær.
"event, occurrence",C,en,tilskikkelse,,German,hendelse,Ulykken var en tragisk tilskikkelse.
"supplement, addition",B2,et,tilskudd,,German,"bidrag, tillegg",De fikk et økonomisk tilskudd fra staten.
encourage,C,verb,tilskynde,,German: toschunden,"oppmuntre til handling, anspore",
obscure,B2,verb,tilsløre,,German,"tåkelegge, holde skjult",Hun prøvde å tilsløre sannheten for å beskytte ham.
"state, condition",B1,en,tilstand,,German,"situasjon, forhold",Tilstanden hans ble betraktet som kritisk etter operasjonen.
presence,B2,en,tilstedeværelse ,,German,det å være til stede,Hennes tilstedeværelse i rommet ble umiddelbart lagt merke til.
happen,B2,verb,"tilstøte, tilstøyte",,,hende,Jeg er redd det kan ha tilstøtt henne noe alvorlig.
"adjacent, adjoining",B2,adjective,tilstøtende,,,"som støter (ligger, grenser) opp til (noe); som ligger side om side med (noe); tilgrensende; tilliggende",
"adjacent room, adjoining room",B2,expression,tilstøtende rom,,,"naborom, tilliggende rom",
strive for,B2,verb,tilstrebe,,German,"strebe etter, prøve å virkeliggjøre",Regimet tilstreber en demokratisk valgordning.
"adequate, sufficient",B2,adjective,tilstrekkelig,,German,nok,De hadde ikke tilstrekkelig med tid til å fullføre oppgaven.
correspond to,B1,verb,tilsvare,,German,"svare til, være lik",Beløpet vil tilsvare det du allerede har betalt.
corresponding,B1,adjective,tilsvarende,,German,som har sitt motstykke i noe nettopp nevnt eller underforstått,Jeg fant en tilsvarende løsning på problemet.
supervision,B2,et,tilsyn,,German,"overvåking, kontroll",Huset er under tilsyn mens eierne er på ferie.
apparent,B2,adjective,tilsynelatende,,German,"som å se til, som etter den ytre fremtoning å dømme synes å være på en bestemt måte",Oppgaven er tilsynelatende lett.
supervisor,B2,en,tilsynsfører,,German,"person som (for eksempel på vegne av barnevernsnemnda) fører tilsyn med noen",
supervisory board,B2,et,tilsynsråd,,German,"råd som skal føre tilsyn med en institusjon, en virksomhet eller lignende, offentlig oppnevnt råd som skal føre tilsyn med fengsler og behandlingen av de innsatte",
"appeal, address",B2,en,tiltale,,German,muntlig henvendelse,
"appeal, address",B2,verb,tiltale,,German,"henvende seg til",
"appealing, pleasant, attractive",B2,adjective,tiltalende,,German,som faller i smak; lett å like; sympatisk,
attract,B2,verb,tiltrekke,,German,trekke til seg,
attractive,B2,adjective,tiltrekkende,,German,"sjarmerende og tiltalende (særlig av utseende)",
existence,B2,en,tilværelse,,German,"det å være til, eksistere, finnes; selve eksistensen eller tilstanden av å være til",
processing,B2,ei,"tilvirking, tilvirkning",,German,det å tilvirke(s),
"hour, lesson, class, appointment",A1,en,time,[ti:`mə],Old Norse: tími,tidsavsnitt på 60 minutter; enhet for tid som tilsvarer 60 minutter,Jeg har en time hos legen i morgen.
time,C,verb,"time, taime",[tai:`mə],English,"sette opp en tidsplan for hvordan et arrangement eller lignende skal avvikles",Besøket var godt timet.
time charter,C,et,"timecharter, timesjarter",[taim(t)sjarter],English,"(kontrakt om) leie av et skip for et lengre tidsrom, tidsbefraktning",Vi har timecharter for skipet.
hourglass,B1,et,timeglass ,,Old Norse,"tidsmåler i form av to glassbeholdere med hull imellom, slik at sanden i den øverste beholderen i løpet av et bestemt tidsrom renner ned i den nederste",
part-time teacher,B2,en,timelærer,,Old Norse,"lærer som ikke er fast ansatt og ikke har full post",
hour-long,B2,adjective,timelang,,Old Norse,"som varer cirka en time",
temporal,B2,adjective,timelig,,Old Norse,"jordisk, verdslig",
hourly wage,B2,ei,timelønn,,Old Norse,"betaling for en times arbeid",
schedule,A2,en,timeplan,,Old Norse,"(uke)oversikt over (skole)aktiviteter",Ifølge timeplanen skal vi ha tysk nå.
number of hours,B2,et,timetall,,Old Norse,"antall timer",
for hours,B1,adverb,timevis,,Old Norse,"i flere timer",
timing,B1,ei,timing,[tai´miŋ],English,"valg eller bestemmelse av det rette tidspunkt, øyeblikk for noe som skal utføres; beregning, fastsettelse av tid for noe i forhold til noe annet som det skal fungere sammen med",Timingen var perfekt for å lansere produktet.
sparkle,B2,et,tinder,,,"tindrende lys",
sparkle,B2,verb,tindre,,,"skinne sterkt og glimtende, funkle",
thing,A1,en,ting,,Old Norse:þing,"sak, anliggende; gjenstand",Jeg har mange ting å gjøre i dag.
"assembly, court",B2,et,ting,,Old Norse:þing,forsamling av folkevalgte som utøver lokalt selvstyre,
courthouse,B2,et,tinghus,,Old Norse,"bygning med rettslokale",
"tip, advice",A2,et,tips,,English,"(underhånds-)opplysning, råd, vink; gjetting om det mest sannsynlige utfallet av en (idretts)konkurranse",Politiet fikk flere anonyme tips fra publikum. Hun ga meg et tips om hvem jeg skulle kontakte.
"tip, gratuity",B1,en,tips,,English,drikkepenger,
tirade,B2,en,tirade,,,"i musikk hurtig løp i stigende og fallende toner; ordrik, høyttravende, frasepreget ytring; floskel",
